ostrinia_nubilalis	drosophila_melanogaster
XP_063821078.1	NP_650441.1
XP_063821081.1	NP_001334711.1
XP_063821082.1	NP_733059.1
XP_063821083.1	NP_524666.2
XP_063821084.1	NP_524293.2
XP_063821086.1	NP_732199.2
XP_063821088.1	NP_524474.1
XP_063821089.1	NP_572648.1
XP_063821090.1	NP_609034.1
XP_063821096.1	NP_001246581.1
XP_063821097.1	NP_524193.2
XP_063821098.1	NP_649304.1
XP_063821099.1	NP_523885.2
XP_063821100.1	NP_609997.1
XP_063821102.1	NP_788517.1
XP_063821103.1	NP_608354.1
XP_063821104.1	NP_610693.1
XP_063821105.1	NP_651307.2
XP_063821106.1	NP_476627.3
XP_063821107.1	NP_523408.2
XP_063821108.1	NP_524661.1
XP_063821109.1	NP_649277.1
XP_063821110.1	NP_730187.2
XP_063821111.1	NP_729480.1
XP_063821113.1	NP_996109.1
XP_063821114.1	NP_996110.1
XP_063821117.1	NP_996112.1
XP_063821119.1	NP_649312.1
XP_063821123.1	NP_648931.1
XP_063821124.1	NP_648565.1
XP_063821125.1	NP_573314.1
XP_063821126.1	NP_573315.1
XP_063821127.1	NP_647990.1
XP_063821128.1	NP_609238.1
XP_063821129.1	NP_649051.3
XP_063821130.1	NP_729249.1
XP_063821135.1	NP_611033.2
XP_063821137.1	NP_650000.1
XP_063821140.1	NP_722858.1
XP_063821141.1	NP_650680.1
XP_063821144.1	NP_648946.3
XP_063821147.1	NP_001014565.2
XP_063821148.1	NP_728643.2
XP_063821150.1	NP_001261441.1
XP_063821151.1	NP_651601.1
XP_063821153.1	NP_608458.1
XP_063821156.1	NP_995767.1
XP_063821157.1	NP_730996.2
XP_063821162.1	NP_001287443.1
XP_063821163.1	NP_001247191.1
XP_063821168.1	NP_608920.1
XP_063821174.1	NP_001262713.1
XP_063821175.1	NP_648032.1
XP_063821176.1	NP_729190.1
XP_063821178.1	NP_648231.1
XP_063821183.1	NP_723797.3
XP_063821185.1	NP_648681.1
XP_063821189.1	NP_650303.1
XP_063821191.1	NP_651986.2
XP_063821193.1	NP_648251.1
XP_063821194.1	NP_610691.1
XP_063821196.1	NP_732515.1
XP_063821197.1	NP_610746.1
XP_063821198.1	NP_730785.1
XP_063821200.1	NP_649087.1
XP_063821201.1	NP_524232.2
XP_063821206.1	NP_650682.1
XP_063821207.1	NP_001247020.1
XP_063821208.1	NP_650939.2
XP_063821210.1	NP_569905.1
XP_063821216.1	NP_001246380.2
XP_063821218.1	NP_573371.1
XP_063821223.1	NP_731459.2
XP_063821226.1	NP_001036426.1
XP_063821235.1	NP_001262793.1
XP_063821239.1	NP_001104369.2
XP_063821241.1	NP_649121.1
XP_063821246.1	NP_001014589.1
XP_063821248.1	NP_725799.1
XP_063821250.1	NP_573123.1
XP_063821251.1	NP_725709.1
XP_063821255.1	NP_724962.3
XP_063821257.1	NP_001285073.1
XP_063821260.1	NP_727694.1
XP_063821261.1	NP_001097738.2
XP_063821262.1	NP_647994.1
XP_063821270.1	NP_725671.1
XP_063821271.1	NP_523723.1
XP_063821276.1	NP_524124.1
XP_063821277.1	NP_648987.1
XP_063821280.1	NP_648306.1
XP_063821283.1	NP_651850.1
XP_063821288.1	NP_648233.1
XP_063821289.1	NP_609362.1
XP_063821292.1	NP_651767.2
XP_063821294.1	NP_001137913.1
XP_063821308.1	NP_647932.1
XP_063821309.1	NP_995793.1
XP_063821312.1	NP_001096929.2
XP_063821314.1	NP_573062.1
XP_063821317.1	NP_650780.1
XP_063821321.1	NP_523530.1
XP_063821325.1	NP_647881.1
XP_063821327.1	NP_573220.2
XP_063821329.1	NP_725750.1
XP_063821330.1	NP_001303395.1
XP_063821335.1	NP_573005.1
XP_063821336.1	NP_651507.1
XP_063821337.1	NP_523969.1
XP_063821338.1	NP_524428.1
XP_063821341.1	NP_001036703.1
XP_063821342.1	NP_647931.1
XP_063821345.1	NP_647983.1
XP_063821346.1	NP_725260.1
XP_063821351.1	NP_610769.1
XP_063821355.1	NP_523552.1
XP_063821356.1	NP_524051.1
XP_063821359.1	NP_611046.2
XP_063821363.1	NP_650403.2
XP_063821364.1	NP_722455.3
XP_063821365.1	NP_647892.1
XP_063821367.1	NP_570018.1
XP_063821368.1	NP_573114.2
XP_063821378.1	NP_001097548.1
XP_063821379.1	NP_001263166.1
XP_063821384.1	NP_729568.1
XP_063821385.1	NP_001097627.1
XP_063821386.1	NP_724274.1
XP_063821388.1	NP_611669.1
XP_063821394.1	NP_647753.1
XP_063821402.1	NP_608515.1
XP_063821412.1	NP_647991.1
XP_063821413.1	NP_995955.1
XP_063821415.1	NP_726308.1
XP_063821416.1	NP_610640.2
XP_063821417.1	NP_731308.1
XP_063821418.1	NP_001137939.2
XP_063821421.1	NP_723619.1
XP_063821422.1	NP_612081.1
XP_063821423.1	NP_610827.2
XP_063821425.1	NP_001036411.1
XP_063821427.1	NP_788283.1
XP_063821428.1	NP_524017.1
XP_063821430.1	NP_523783.1
XP_063821431.1	NP_996449.1
XP_063821432.1	NP_609999.2
XP_063821434.1	NP_572649.1
XP_063821436.1	NP_610223.1
XP_063821438.1	NP_572254.1
XP_063821441.1	NP_649095.2
XP_063821442.1	NP_610600.1
XP_063821447.1	NP_001260430.1
XP_063821450.1	NP_610479.1
XP_063821451.1	NP_730206.1
XP_063821453.1	NP_610969.1
XP_063821454.1	NP_569956.1
XP_063821456.1	NP_001263164.1
XP_063821457.1	NP_612093.1
XP_063821459.1	NP_648768.1
XP_063821461.1	NP_648318.2
XP_063821462.1	NP_996358.2
XP_063821463.1	NP_572562.1
XP_063821465.1	NP_727252.1
XP_063821467.1	NP_511082.2
XP_063821469.1	NP_572466.1
XP_063821470.1	NP_001286538.1
XP_063821472.1	NP_511096.2
XP_063821473.1	NP_610734.1
XP_063821474.1	NP_001036428.1
XP_063821475.1	NP_523727.2
XP_063821476.1	NP_649371.2
XP_063821477.1	NP_608763.2
XP_063821478.1	NP_730775.1
XP_063821480.1	NP_730773.4
XP_063821481.1	NP_610928.1
XP_063821482.1	NP_610451.1
XP_063821483.1	NP_647847.1
XP_063821484.1	NP_001036574.1
XP_063821487.1	NP_788400.1
XP_063821488.1	NP_725760.1
XP_063821489.1	NP_729141.2
XP_063821490.1	NP_730229.1
XP_063821494.1	NP_609187.1
XP_063821495.1	NP_648082.1
XP_063821496.1	NP_725046.2
XP_063821498.1	NP_609975.1
XP_063821501.1	NP_647865.2
XP_063821502.1	NP_523631.1
XP_063821503.1	NP_524722.2
XP_063821504.1	NP_611113.1
XP_063821505.1	NP_733076.2
XP_063821506.1	NP_609314.1
XP_063821508.1	NP_609361.1
XP_063821510.1	NP_524108.1
XP_063821513.1	NP_650787.1
XP_063821514.1	NP_477442.1
XP_063821515.1	NP_477248.1
XP_063821517.1	NP_723536.1
XP_063821518.1	NP_523515.1
XP_063821520.1	NP_523612.3
XP_063821521.1	NP_572526.1
XP_063821524.1	NP_723616.1
XP_063821530.1	NP_476843.2
XP_063821531.1	NP_724186.2
XP_063821532.1	NP_727311.2
XP_063821533.1	NP_732536.1
XP_063821534.1	NP_476787.1
XP_063821538.1	NP_609382.1
XP_063821539.1	NP_476610.2
XP_063821543.1	NP_001097365.1
XP_063821544.1	NP_649531.1
XP_063821545.1	NP_523541.2
XP_063821546.1	NP_001260719.1
XP_063821549.1	NP_650260.1
XP_063821556.1	NP_724279.1
XP_063821559.1	NP_649129.1
XP_063821562.1	NP_648756.1
XP_063821563.1	NP_523651.4
XP_063821564.1	NP_524191.1
XP_063821566.1	NP_608422.1
XP_063821567.1	NP_001097040.1
XP_063821569.1	NP_726712.1
XP_063821570.1	NP_001014591.1
XP_063821571.1	NP_729571.1
XP_063821572.1	NP_001262131.1
XP_063821574.1	NP_572441.1
XP_063821576.1	NP_996328.1
XP_063821580.1	NP_001137910.2
XP_063821582.1	NP_524849.2
XP_063821584.1	NP_648472.1
XP_063821588.1	NP_001261979.1
XP_063821590.1	NP_001246812.1
XP_063821591.1	NP_524199.1
XP_063821593.1	NP_648956.1
XP_063821594.1	NP_001262151.1
XP_063821595.1	NP_724890.1
XP_063821599.1	NP_001162771.1
XP_063821600.1	NP_524551.2
XP_063821601.1	NP_001261260.1
XP_063821602.1	NP_001356937.1
XP_063821603.1	NP_001137727.2
XP_063821604.1	NP_728191.1
XP_063821606.1	NP_573319.1
XP_063821609.1	NP_727854.2
XP_063821611.1	NP_788906.1
XP_063821612.1	NP_724605.1
XP_063821613.1	NP_477374.1
XP_063821614.1	NP_996490.1
XP_063821617.1	NP_731269.2
XP_063821619.1	NP_648776.1
XP_063821620.1	NP_610229.1
XP_063821621.1	NP_724490.1
XP_063821623.1	NP_511124.1
XP_063821625.1	NP_001285766.1
XP_063821629.1	NP_610996.1
XP_063821632.1	NP_609790.1
XP_063821634.1	NP_524165.2
XP_063821635.1	NP_001246743.1
XP_063821637.1	NP_523927.2
XP_063821640.1	NP_524099.2
XP_063821647.1	NP_001286553.1
XP_063821650.1	NP_611091.2
XP_063821651.1	NP_477499.1
XP_063821652.1	NP_524809.2
XP_063821655.1	NP_723249.1
XP_063821657.1	NP_723251.1
XP_063821667.1	NP_001245928.1
XP_063821668.1	NP_724489.1
XP_063821669.1	NP_001286833.1
XP_063821675.1	NP_001259388.1
XP_063821676.1	NP_727948.1
XP_063821677.1	NP_523972.2
XP_063821681.1	NP_525041.1
XP_063821682.1	NP_610592.1
XP_063821684.1	NP_524122.2
XP_063821691.1	NP_001284933.1
XP_063821692.1	NP_001246607.1
XP_063821694.1	NP_724326.1
XP_063821695.1	NP_724327.1
XP_063821696.1	NP_523941.2
XP_063821698.1	NP_001334732.1
XP_063821700.1	NP_524793.2
XP_063821701.1	NP_572467.1
XP_063821702.1	NP_477213.1
XP_063821704.1	NP_476590.1
XP_063821705.1	NP_609607.1
XP_063821707.1	NP_001260698.1
XP_063821708.1	NP_730563.1
XP_063821709.1	NP_649302.1
XP_063821710.1	NP_608464.1
XP_063821712.1	NP_609257.3
XP_063821713.1	NP_573287.1
XP_063821715.1	NP_573190.1
XP_063821717.1	NP_996488.2
XP_063821719.1	NP_573143.1
XP_063821722.1	NP_573146.1
XP_063821723.1	NP_727535.1
XP_063821724.1	NP_572653.1
XP_063821725.1	NP_727693.1
XP_063821726.1	NP_001284757.1
XP_063821727.1	NP_995708.1
XP_063821728.1	NP_995946.1
XP_063821731.1	NP_996097.1
XP_063821737.1	NP_996506.2
XP_063821740.1	NP_609616.1
XP_063821741.1	NP_649160.1
XP_063821742.1	NP_647678.3
XP_063821743.1	NP_609157.3
XP_063821745.1	NP_609965.1
XP_063821746.1	NP_001286259.1
XP_063821748.1	NP_650773.1
XP_063821749.1	NP_650774.1
XP_063821750.1	NP_651717.1
XP_063821751.1	NP_001334670.1
XP_063821752.1	NP_649826.3
XP_063821754.1	NP_569918.1
XP_063821755.1	NP_730508.1
XP_063821756.1	NP_001260041.1
XP_063821757.1	NP_608534.2
XP_063821758.1	NP_725421.1
XP_063821759.1	NP_787973.1
XP_063821764.1	NP_725714.1
XP_063821765.1	NP_730476.1
XP_063821769.1	NP_648705.2
XP_063821776.1	NP_725545.2
XP_063821778.1	NP_725544.1
XP_063821782.1	NP_995886.1
XP_063821783.1	NP_727986.2
XP_063821789.1	NP_647629.1
XP_063821790.1	NP_651318.3
XP_063821794.1	NP_651321.1
XP_063821796.1	NP_477158.1
XP_063821797.1	NP_723173.1
XP_063821800.1	NP_726991.1
XP_063821802.1	NP_648205.1
XP_063821803.1	NP_722619.1
XP_063821805.1	NP_650124.1
XP_063821806.1	NP_523706.1
XP_063821807.1	NP_001163717.1
XP_063821808.1	NP_573099.1
XP_063821809.1	NP_730321.1
XP_063821810.1	NP_001303380.1
XP_063821811.1	NP_730322.1
XP_063821812.1	NP_524698.1
XP_063821814.1	NP_730323.1
XP_063821815.1	NP_649324.1
XP_063821816.1	NP_732936.1
XP_063821817.1	NP_732939.2
XP_063821821.1	NP_523886.1
XP_063821823.1	NP_573325.1
XP_063821828.1	NP_648621.1
XP_063821831.1	NP_610087.2
XP_063821834.1	NP_001285632.1
XP_063821835.1	NP_610452.2
XP_063821836.1	NP_569978.1
XP_063821838.1	NP_724468.1
XP_063821839.1	NP_476651.1
XP_063821840.1	NP_609783.1
XP_063821844.1	NP_001245954.1
XP_063821846.1	NP_647713.2
XP_063821849.1	NP_608658.1
XP_063821852.1	NP_727720.1
XP_063821853.1	NP_001285365.1
XP_063821857.1	NP_724410.1
XP_063821858.1	NP_610165.1
XP_063821861.1	NP_724408.4
XP_063821865.1	NP_001285231.1
XP_063821867.1	NP_610838.1
XP_063821873.1	NP_611687.1
XP_063821875.1	NP_610786.2
XP_063821876.1	NP_996372.1
XP_063821878.1	NP_725208.1
XP_063821880.1	NP_725209.1
XP_063821882.1	NP_610221.1
XP_063821883.1	NP_610224.1
XP_063821885.1	NP_001097541.1
XP_063821889.1	NP_726498.1
XP_063821893.1	NP_725497.1
XP_063821894.1	NP_610209.2
XP_063821896.1	NP_648212.1
XP_063821898.1	NP_651070.3
XP_063821899.1	NP_647836.2
XP_063821906.1	NP_573368.2
XP_063821909.1	NP_569837.2
XP_063821910.1	NP_609845.1
XP_063821911.1	NP_724460.1
XP_063821912.1	NP_001262029.1
XP_063821913.1	NP_608420.1
XP_063821915.1	NP_724707.1
XP_063821918.1	NP_609305.1
XP_063821919.1	NP_476982.1
XP_063821925.1	NP_722672.3
XP_063821930.1	NP_609836.1
XP_063821931.1	NP_724047.2
XP_063821932.1	NP_647859.1
XP_063821935.1	NP_610549.1
XP_063821936.1	NP_727499.1
XP_063821937.1	NP_524475.1
XP_063821938.1	NP_728629.1
XP_063821939.1	NP_725794.2
XP_063821941.1	NP_608518.1
XP_063821943.1	NP_724412.1
XP_063821945.1	NP_001259975.1
XP_063821946.1	NP_001263101.1
XP_063821950.1	NP_001246198.1
XP_063821953.1	NP_726387.1
XP_063821955.1	NP_476832.1
XP_063821956.1	NP_001286796.1
XP_063821957.1	NP_649570.1
XP_063821958.1	NP_649565.1
XP_063821959.1	NP_572535.1
XP_063821960.1	NP_648057.2
XP_063821961.1	NP_649099.1
XP_063821962.1	NP_477197.1
XP_063821963.1	NP_649098.2
XP_063821964.1	NP_610220.1
XP_063821965.1	NP_001287115.1
XP_063821966.1	NP_649904.2
XP_063821967.1	NP_569949.3
XP_063821968.1	NP_650570.1
XP_063821969.1	NP_788952.2
XP_063821971.1	NP_647989.2
XP_063821973.1	NP_728919.1
XP_063821974.1	NP_477251.3
XP_063821975.1	NP_725560.1
XP_063821980.1	NP_995881.2
XP_063821981.1	NP_524537.1
XP_063821982.1	NP_726512.1
XP_063821983.1	NP_001261026.1
XP_063821985.1	NP_611929.1
XP_063821986.1	NP_001356976.1
XP_063821990.1	NP_001287635.1
XP_063821992.1	NP_726458.1
XP_063821999.1	NP_001260696.1
XP_063822000.1	NP_788084.1
XP_063822001.1	NP_727783.3
XP_063822003.1	NP_609111.1
XP_063822004.1	NP_612042.3
XP_063822005.1	NP_608930.1
XP_063822009.1	NP_001401025.1
XP_063822012.1	NP_647641.1
XP_063822013.1	NP_001189018.1
XP_063822014.1	NP_648557.1
XP_063822017.1	NP_647645.1
XP_063822018.1	NP_609186.1
XP_063822025.1	NP_649026.1
XP_063822026.1	NP_611422.2
XP_063822031.1	NP_996411.2
XP_063822032.1	NP_723898.1
XP_063822035.1	NP_996493.1
XP_063822037.1	NP_001259385.1
XP_063822039.1	NP_523658.1
XP_063822041.1	NP_724438.1
XP_063822046.1	NP_610933.1
XP_063822054.1	NP_001284880.1
XP_063822056.1	NP_608325.1
XP_063822057.1	NP_001262419.1
XP_063822058.1	NP_611010.4
XP_063822061.1	NP_523378.2
XP_063822062.1	NP_728021.2
XP_063822066.1	NP_001137800.1
XP_063822067.1	NP_648455.2
XP_063822068.1	NP_476749.1
XP_063822073.1	NP_523567.5
XP_063822074.1	NP_724181.1
XP_063822075.1	NP_477416.1
XP_063822076.1	NP_001097080.2
XP_063822080.1	NP_609086.1
XP_063822082.1	NP_724363.1
XP_063822083.1	NP_722852.1
XP_063822087.1	NP_524733.2
XP_063822089.1	NP_649039.4
XP_063822093.1	NP_511143.2
XP_063822094.1	NP_723426.1
XP_063822095.1	NP_648728.2
XP_063822096.1	NP_649305.1
XP_063822100.1	NP_611726.1
XP_063822105.1	NP_730590.1
XP_063822106.1	NP_647789.2
XP_063822108.1	NP_608982.2
XP_063822109.1	NP_608823.2
XP_063822111.1	NP_524833.2
XP_063822112.1	NP_001259521.1
XP_063822113.1	NP_573140.1
XP_063822114.1	NP_729825.2
XP_063822115.1	NP_001104353.1
XP_063822117.1	NP_001015316.1
XP_063822121.1	NP_733209.1
XP_063822123.1	NP_001163062.1
XP_063822125.1	NP_610478.1
XP_063822126.1	NP_001259591.1
XP_063822128.1	NP_610599.3
XP_063822129.1	NP_572915.1
XP_063822131.1	NP_523953.2
XP_063822133.1	NP_648080.1
XP_063822135.1	NP_476575.1
XP_063822137.1	NP_610816.2
XP_063822143.1	NP_001285496.1
XP_063822145.1	NP_610466.2
XP_063822146.1	NP_001284850.1
XP_063822148.1	NP_610413.1
XP_063822149.1	NP_728769.2
XP_063822151.1	NP_001356980.1
XP_063822152.1	NP_477288.3
XP_063822154.1	NP_001036452.1
XP_063822155.1	NP_001259601.1
XP_063822156.1	NP_649649.1
XP_063822159.1	NP_726059.5
XP_063822160.1	NP_001138153.1
XP_063822161.1	NP_001259548.1
XP_063822166.1	NP_511055.1
XP_063822168.1	NP_573328.2
XP_063822179.1	NP_609899.1
XP_063822180.1	NP_610918.1
XP_063822189.1	NP_648283.1
XP_063822190.1	NP_001261610.1
XP_063822196.1	NP_572401.2
XP_063822199.1	NP_001285221.1
XP_063822200.1	NP_573354.1
XP_063822201.1	NP_524060.2
XP_063822214.1	NP_788038.1
XP_063822215.1	NP_609453.1
XP_063822216.1	NP_001260324.1
XP_063822219.1	NP_611336.1
XP_063822220.1	NP_649016.1
XP_063822221.1	NP_572303.4
XP_063822223.1	NP_572342.1
XP_063822229.1	NP_523665.2
XP_063822231.1	NP_649595.1
XP_063822236.1	NP_001104482.3
XP_063822243.1	NP_611860.1
XP_063822244.1	NP_648457.1
XP_063822246.1	NP_612049.1
XP_063822247.1	NP_477383.1
XP_063822248.1	NP_647950.1
XP_063822249.1	NP_608536.1
XP_063822251.1	NP_649130.2
XP_063822254.1	NP_649072.1
XP_063822255.1	NP_572668.1
XP_063822258.1	NP_727153.2
XP_063822259.1	NP_001138172.1
XP_063822260.1	NP_651918.2
XP_063822265.1	NP_651459.2
XP_063822268.1	NP_651362.1
XP_063822269.1	NP_610499.2
XP_063822270.1	NP_996231.1
XP_063822273.1	NP_724409.3
XP_063822274.1	NP_788409.1
XP_063822275.1	NP_652073.2
XP_063822279.1	NP_727768.1
XP_063822281.1	NP_524752.1
XP_063822289.1	NP_523619.2
XP_063822296.1	NP_609984.2
XP_063822297.1	NP_609985.1
XP_063822300.1	NP_728980.1
XP_063822301.1	NP_648406.1
XP_063822305.1	NP_650794.1
XP_063822306.1	NP_722907.1
XP_063822307.1	NP_723149.1
XP_063822308.1	NP_648092.1
XP_063822310.1	NP_609900.1
XP_063822311.1	NP_608826.4
XP_063822313.1	NP_573239.1
XP_063822314.1	NP_573237.2
XP_063822316.1	NP_732072.1
XP_063822317.1	NP_726375.1
XP_063822318.1	NP_511049.1
XP_063822319.1	NP_001245533.1
XP_063822320.1	NP_572361.1
XP_063822321.1	NP_611561.1
XP_063822322.1	NP_476614.1
XP_063822323.1	NP_001162875.1
XP_063822324.1	NP_787983.1
XP_063822325.1	NP_787985.1
XP_063822327.1	NP_787987.1
XP_063822328.1	NP_001162878.2
XP_063822330.1	NP_609247.1
XP_063822331.1	NP_730650.1
XP_063822332.1	NP_609529.2
XP_063822333.1	NP_650307.2
XP_063822334.1	NP_725212.1
XP_063822335.1	NP_523483.2
XP_063822345.1	NP_650686.1
XP_063822347.1	NP_608808.1
XP_063822348.1	NP_722628.1
XP_063822350.1	NP_723014.1
XP_063822352.1	NP_727494.1
XP_063822354.1	NP_995603.2
XP_063822356.1	NP_722604.1
XP_063822358.1	NP_995625.2
XP_063822362.1	NP_731384.1
XP_063822364.1	NP_995796.2
XP_063822365.1	NP_001286360.1
XP_063822366.1	NP_001245712.1
XP_063822367.1	NP_728976.2
XP_063822374.1	NP_523923.1
XP_063822375.1	NP_001163347.1
XP_063822376.1	NP_732929.1
XP_063822377.1	NP_609220.1
XP_063822378.1	NP_477321.2
XP_063822379.1	NP_001369051.1
XP_063822380.1	NP_523785.2
XP_063822381.1	NP_610101.3
XP_063822382.1	NP_650055.1
XP_063822384.1	NP_995721.1
XP_063822388.1	NP_611469.1
XP_063822393.1	NP_001260262.1
XP_063822394.1	NP_608827.1
XP_063822395.1	NP_523551.1
XP_063822396.1	NP_722971.1
XP_063822397.1	NP_788019.1
XP_063822400.1	NP_608828.2
XP_063822406.1	NP_523533.2
XP_063822407.1	NP_651781.1
XP_063822413.1	NP_001034050.1
XP_063822414.1	NP_726155.1
XP_063822415.1	NP_608841.1
XP_063822416.1	NP_536740.1
XP_063822417.1	NP_573116.2
XP_063822420.1	NP_649926.2
XP_063822422.1	NP_650273.2
XP_063822423.1	NP_001259880.1
XP_063822425.1	NP_524866.4
XP_063822427.1	NP_608738.1
XP_063822432.1	NP_731790.1
XP_063822433.1	NP_995813.1
XP_063822435.1	NP_651779.1
XP_063822436.1	NP_733162.2
XP_063822442.1	NP_608551.1
XP_063822444.1	NP_651780.1
XP_063822445.1	NP_477508.1
XP_063822446.1	NP_731783.1
XP_063822447.1	NP_476776.1
XP_063822448.1	NP_525068.1
XP_063822452.1	NP_536756.1
XP_063822455.1	NP_609172.1
XP_063822456.1	NP_608580.2
XP_063822457.1	NP_476605.1
XP_063822465.1	NP_477208.1
XP_063822471.1	NP_001286397.1
XP_063822472.1	NP_995704.1
XP_063822474.1	NP_523469.2
XP_063822480.1	NP_477136.1
XP_063822481.1	NP_609150.2
XP_063822488.1	NP_001015101.2
XP_063822490.1	NP_723565.1
XP_063822494.1	NP_608884.1
XP_063822495.1	NP_651119.2
XP_063822499.1	NP_523734.1
XP_063822501.1	NP_650306.1
XP_063822503.1	NP_001015386.3
XP_063822504.1	NP_476962.1
XP_063822506.1	NP_611503.1
XP_063822507.1	NP_524867.2
XP_063822513.1	NP_728540.1
XP_063822519.1	NP_609586.1
XP_063822521.1	NP_477027.1
XP_063822522.1	NP_609579.1
XP_063822523.1	NP_722456.1
XP_063822525.1	NP_611351.1
XP_063822526.1	NP_609227.1
XP_063822530.1	NP_609544.2
XP_063822531.1	NP_609608.1
XP_063822532.1	NP_722964.1
XP_063822533.1	NP_524905.1
XP_063822535.1	NP_728496.2
XP_063822536.1	NP_726886.1
XP_063822537.1	NP_511152.2
XP_063822539.1	NP_722961.1
XP_063822540.1	NP_611868.1
XP_063822541.1	NP_608682.3
XP_063822542.1	NP_608681.2
XP_063822543.1	NP_476734.1
XP_063822544.1	NP_524524.1
XP_063822545.1	NP_733176.2
XP_063822546.1	NP_477497.1
XP_063822547.1	NP_651828.2
XP_063822549.1	NP_523460.2
XP_063822551.1	NP_722839.1
XP_063822552.1	NP_995619.2
XP_063822554.1	NP_524205.2
XP_063822555.1	NP_609786.2
XP_063822557.1	NP_732822.1
XP_063822561.1	NP_733175.1
XP_063822562.1	NP_651515.1
XP_063822564.1	NP_599132.2
XP_063822565.1	NP_001014528.1
XP_063822566.1	NP_476939.1
XP_063822567.1	NP_608750.1
XP_063822569.1	NP_652578.1
XP_063822570.1	NP_729983.1
XP_063822575.1	NP_609207.1
XP_063822576.1	NP_609811.1
XP_063822577.1	NP_723712.1
XP_063822579.1	NP_001137876.1
XP_063822581.1	NP_723391.2
XP_063822586.1	NP_608819.1
XP_063822589.1	NP_608613.1
XP_063822590.1	NP_609369.1
XP_063822591.1	NP_722762.1
XP_063822592.1	NP_608487.1
XP_063822598.1	NP_001036524.1
XP_063822599.1	NP_001356957.1
XP_063822600.1	NP_731712.1
XP_063822603.1	NP_572610.1
XP_063822604.1	NP_995658.1
XP_063822606.1	NP_610460.1
XP_063822608.1	NP_608902.1
XP_063822609.1	NP_608569.1
XP_063822617.1	NP_477153.1
XP_063822618.1	NP_524337.1
XP_063822619.1	NP_609769.2
XP_063822620.1	NP_001259981.1
XP_063822623.1	NP_523523.2
XP_063822627.1	NP_609923.2
XP_063822633.1	NP_001285574.1
XP_063822636.1	NP_608548.1
XP_063822637.1	NP_723198.2
XP_063822638.1	NP_995614.1
XP_063822639.1	NP_726570.1
XP_063822640.1	NP_728468.1
XP_063822645.1	NP_001096956.1
XP_063822655.1	NP_723644.1
XP_063822656.1	NP_609538.2
XP_063822657.1	NP_648021.1
XP_063822659.1	NP_731923.2
XP_063822662.1	NP_001262572.1
XP_063822664.1	NP_001285928.1
XP_063822667.1	NP_722813.1
XP_063822669.1	NP_001097319.1
XP_063822674.1	NP_733371.1
XP_063822675.1	NP_572494.1
XP_063822676.1	NP_609793.2
XP_063822678.1	NP_001260168.1
XP_063822680.1	NP_477270.2
